"","y","x1","x2"
"1",0,1,10.4087505341
"2",0,1,10.4087505341
"3",0,1,10.4087505341
"4",0,1,10.4087505341
"5",0,1,10.4087505341
"6",0,1,10.4087505341
"7",0,1,10.4087505341
"8",0,1,10.4087505341
"9",0,1,10.4087505341
"10",0,1,10.4087505341
"11",0,1,10.4087505341
"12",0,1,10.4087505341
"13",0,1,10.4087505341
"14",0,1,10.4087505341
"15",0,1,10.4087505341
"16",0.0985135169452683,1,10.4087505341
"17",0,1,11.6337499619
"18",0,1,11.6337499619
"19",0,1,11.6337499619
"20",0,1,11.6337499619
"21",0,1,11.6337499619
"22",0,1,11.6337499619
"23",0,1,11.6337499619
"24",0,1,11.6337499619
"25",0,1,11.6337499619
"26",0,1,11.6337499619
"27",0,1,11.6337499619
"28",0,1,11.6337499619
"29",0,1,11.6337499619
"30",0,1,11.6337499619
"31",0,1,11.6337499619
"32",0,1,11.6337499619
"33",0,1,11.6337499619
"34",0,1,11.6337499619
"35",0,1,11.6337499619
"36",0,1,11.6337499619
"37",0,1,11.6337499619
"38",0,1,11.6337499619
"39",0,1,11.6337499619
"40",0,1,11.6337499619
"41",0,1,11.6337499619
"42",0,1,11.6337499619
"43",0,1,11.6337499619
"44",0,1,11.6337499619
"45",0,1,11.6337499619
"46",0,1,11.6337499619
"47",0,1,11.6337499619
"48",0,1,13.1087493896
"49",0,1,13.1087493896
"50",0,1,13.1087493896
"51",0,1,13.1087493896
"52",0,3,13.1087493896
"53",0,1,13.1087493896
"54",0,1,13.1087493896
"55",0,1,13.1087493896
"56",0,1,13.1087493896
"57",0,1,13.1087493896
"58",0,1,13.1087493896
"59",0.00851636779778234,1,13.1087493896
"60",0,1,13.1087493896
"61",0,1,13.1087493896
"62",0,1,13.1087493896
"63",0,1,13.1087493896
"64",0,1,13.1087493896
"65",0.0997581159741953,1,13.1087493896
"66",0,1,13.1087493896
"67",0,1,13.1087493896
"68",0,1,13.1087493896
"69",0,2,13.1087493896
"70",0,1,13.1087493896
"71",0,1,13.1087493896
"72",0,1,13.1087493896
"73",0,3,13.1087493896
"74",0,3,13.1087493896
