"","index","minute","nsunfishm","nobserver","nsunfish","wdirlocal","seastate","shark","leatherback","wdirlocal2","month","ferry","sst","sstanom","year","iso13","non_zero","totzooL4","totmedusL4","siphL4","cfinL4","chelL4","lcopL4","siphcpr","cnidarcpr","phytocpr"
"31","1971-05-15",30,0,1,0,NA,3.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"32","1971-05-16",30,0,1,0,NA,3.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"33","1971-05-17",60,0,1,0,NA,4,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"34","1971-05-18",120,0,1,0,NA,2,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"35","1971-05-19",60,0,1,0,NA,1.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"36","1971-05-20",60,0,1,0,NA,2,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"37","1971-05-21",30,0,1,0,NA,2,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"38","1971-05-22",60,0,1,0,NA,3.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"39","1971-05-23",30,0,1,0,NA,3,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"40","1971-05-24",90,0,1,0,NA,3,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"41","1971-05-25",30,0,1,0,NA,2,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"42","1971-05-26",30,0,1,0,NA,2.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"43","1971-05-27",30,0,1,0,NA,4.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"44","1971-05-28",90,0,1,0,NA,3.5,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"45","1971-05-29",380,0,1,0,NA,3,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"46","1971-05-30",120,0,1,0,NA,4,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"47","1971-05-31",120,0,1,0,NA,2,NA,0,"",5,0,11.6337499619,-0.043872013278655,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"48","1971-06-01",60,0,1,0,NA,3,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"49","1971-06-02",30,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"50","1971-06-03",30,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"51","1971-06-04",30,0,1,0,NA,5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"52","1971-06-05",30,0,3,0,NA,2.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"53","1971-06-06",30,0,1,0,NA,2,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"54","1971-06-07",30,0,1,0,NA,1.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"55","1971-06-08",30,0,1,0,NA,1.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"56","1971-06-09",30,0,1,0,NA,3,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"57","1971-06-10",30,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"58","1971-06-11",30,0,1,0,NA,3,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"59","1971-06-12",60,0,1,0,NA,3.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"60","1971-06-13",60,0,1,0,NA,2,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"61","1971-06-14",30,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"62","1971-06-15",30,0,1,0,NA,3.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"63","1971-06-16",30,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"64","1971-06-17",60,0,1,0,NA,3.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"65","1971-06-18",180,0,1,0,NA,6,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"66","1971-06-19",120,0,1,0,NA,2.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"67","1971-06-20",60,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"68","1971-06-21",230,0,1,0,NA,4,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"69","1971-06-22",30,0,2,0,NA,2,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"70","1971-06-23",30,0,1,0,NA,2,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"71","1971-06-24",60,0,1,0,NA,3,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"72","1971-06-25",210,0,1,0,NA,3.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"73","1971-06-26",30,0,3,0,NA,4.5,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"74","1971-06-27",150,0,3,0,NA,3,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"75","1971-06-28",30,0,2,0,NA,2,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
